#REF_BACEN;NU_ORDEM;NU_INDICE;GT_GEOMETRIA
517254574;1;0;POLYGON ((-45.15575 -19.211215 0,-45.157129 -19.210227 0,-45.158508 -19.20924 0,-45.1593 -19.210804 0,-45.159695 -19.211587 0,-45.160091 -19.212369 0,-45.159406 -19.212556 0,-45.158721 -19.212743 0,-45.158036 -19.212929 0,-45.157351 -19.213116 0,-45.156551 -19.212166 0,-45.15575 -19.211215 0))
517254576;1;0;POLYGON ((-46.329025 -18.225155999999899 0,-46.329239 -18.225188 0,-46.330292 -18.225575 0,-46.330844 -18.225639 0,-46.332112 -18.225292 0,-46.332296 -18.225285 0,-46.332624 -18.225347 0,-46.33311 -18.225552 0,-46.333825 -18.225951 0,-46.334515 -18.226513 0,-46.334672 -18.226704 0,-46.335104 -18.227285 0,-46.335562 -18.227822 0,-46.336858 -18.228773 0,-46.335337 -18.232322 0,-46.334188 -18.234598 0,-46.333049 -18.234466 0,-46.332694 -18.234323 0,-46.331112 -18.234491 0,-46.330627 -18.233358 0,-46.329827 -18.231085 0,-46.329504 -18.229708 0,-46.329139 -18.228813 0,-46.328327 -18.228413 0,-46.327813 -18.227979 0,-46.328947 -18.225165 0,-46.329025 -18.225155999999899 0))
517254580;1;0;POLYGON ((-41.763193979859999 -8.16122917551 0,-41.76362950355 -8.161482732230001 0,-41.764070726930001 -8.161746908950001 0,-41.764519661670001 -8.161960639729999 0,-41.764335259799999 -8.16226796051 0,-41.764259487389999 -8.162409673140001 0,-41.764121018349996 -8.162558023320001 0,-41.763934604820001 -8.162413987580001 0,-41.763787083330001 -8.16227227495 0,-41.76365029067 -8.162165409649999 0,-41.763507798310002 -8.162064850049999 0,-41.763193979859999 -8.16122917551 0))
517254580;3;0;POLYGON ((-41.761354990299999 -8.16071874278 0,-41.761719770729997 -8.16045755231 0,-41.761841811239997 -8.160403455659999 0,-41.7619336769 -8.1602955942199 0,-41.762111708520003 -8.16041639903 0,-41.762332655489999 -8.16052791113 0,-41.762472800909997 -8.16063013053 0,-41.762827858329999 -8.160812001349999 0,-41.76190584898 -8.161632410259999 0,-41.761297658090001 -8.16109443195 0,-41.761134378610002 -8.160942098670001 0,-41.761354990299999 -8.16071874278 0))
517254580;4;0;POLYGON ((-41.768091022969998 -8.165254867190001 0,-41.767885498699997 -8.1656016788 0,-41.767527423799997 -8.16599395721 0,-41.767139174039997 -8.1663782701999 0,-41.766804233190001 -8.166657378109999 0,-41.766454204920002 -8.166381920839999 0,-41.76675025374 -8.166000926619899 0,-41.767097264530001 -8.165643827169999 0,-41.767478473479898 -8.165327216430001 0,-41.76763907075 -8.165008282300001 0,-41.768091022969998 -8.165254867190001 0))
517254582;1;0;POLYGON ((-53.17551943806 -27.20285255161 0,-53.174895200800002 -27.202891849749999 0,-53.174947800330003 -27.2033542171399 0,-53.175011128709997 -27.20381658262 0,-53.174230355189998 -27.203925478870001 0,-53.173444217239997 -27.204053459139999 0,-53.173057481370002 -27.204123279299999 0,-53.172654652239999 -27.20420741249 0,-53.172474743270001 -27.203298172490001 0,-53.17369432497 -27.20307523963 0,-53.173673446229998 -27.202804724749999 0,-53.175540500959997 -27.2025491096 0,-53.17551943806 -27.20285255161 0))
517254583;1;0;POLYGON ((-53.048864390470001 -27.22493771189 0,-53.048842691129998 -27.225134562489998 0,-53.048771808849999 -27.2255091220499 0,-53.048603402129899 -27.225721197129999 0,-53.04814556126 -27.22564565651 0,-53.048073009189999 -27.22538319181 0,-53.04775447123 -27.225252761299998 0,-53.047654228710002 -27.22547502167 0,-53.047090022440003 -27.22533862437 0,-53.047160878260001 -27.2248776898799 0,-53.046804985110001 -27.224833084679901 0,-53.046742121519898 -27.22524913462 0,-53.046524315429998 -27.225140426909999 0,-53.0463812011199 -27.22505137077 0,-53.046809355439997 -27.224257059649901 0,-53.048864390470001 -27.22493771189 0))
517254584;1;0;POLYGON ((-54.209951867980003 -27.518067103900002 0,-54.209663155099904 -27.519091070529999 0,-54.209292561550001 -27.51916360173 0,-54.209108780450002 -27.51930220977 0,-54.208935526090002 -27.519411669330001 0,-54.208694698389998 -27.519589770189999 0,-54.208727599500001 -27.51968845223 0,-54.209056356650002 -27.519812361210001 0,-54.209266174040003 -27.519904797510002 0,-54.20937234985 -27.520030033080001 0,-54.209382089549997 -27.52027295461 0,-54.209288813480001 -27.520494307330001 0,-54.208696864149999 -27.520476687030001 0,-54.208648217529998 -27.520271791340001 0,-54.208553940830001 -27.52016335551 0,-54.208445426360001 -27.520161445739902 0,-54.208338506 -27.520285047510001 0,-54.208337988359901 -27.520467795609999 0,-54.207525117910002 -27.520413813779999 0,-54.207738566060002 -27.519726880819899 0,-54.207889636170002 -27.51931058932 0,-54.207962146930001 -27.519081518629999 0,-54.20800491408 -27.518894425660001 0,-54.208038885089998 -27.518650620039999 0,-54.2081240228 -27.51880782644 0,-54.208750133419997 -27.518638628070001 0,-54.208814842419997 -27.51871300537 0,-54.208840183249997 -27.518800478900001 0,-54.208815926180002 -27.518841978369998 0,-54.208686509220001 -27.518901004850001 0,-54.208432006320002 -27.518949010090001 0,-54.208343176740001 -27.518998149329999 0,-54.208435708960003 -27.519159858799998 0,-54.208521047280001 -27.519206883519999 0,-54.208483045050002 -27.519090162849999 0,-54.208451725590002 -27.519036575539999 0,-54.208451871500003 -27.519034732969999 0,-54.208835610169999 -27.518898704800002 0,-54.209052974629998 -27.518814626809998 0,-54.20949433002 -27.518643383539999 0,-54.209672360230002 -27.518388977979999 0,-54.209765138309997 -27.518055692770002 0,-54.209767154310001 -27.517939630810002 0,-54.209716347910003 -27.51797089063 0,-54.209659907450003 -27.518221512099998 0,-54.209612158899901 -27.5183768393 0,-54.209532339070002 -27.518479701979999 0,-54.209403697859997 -27.51823603487 0,-54.209324809819996 -27.518175566149999 0,-54.209199870390002 -27.518324046259998 0,-54.209105577869998 -27.518193008499999 0,-54.208681813139997 -27.518366718559999 0,-54.20846679257 -27.51844867022 0,-54.208278545580001 -27.518495258129899 0,-54.20811343031 -27.51852657101 0,-54.208057630920003 -27.518550454349999 0,-54.208102138980003 -27.518383354760001 0,-54.208447103330002 -27.517382067309999 0,-54.208648230910001 -27.517342116910001 0,-54.209023074340003 -27.5173128974299 0,-54.209195289770001 -27.517327067429999 0,-54.209258469829997 -27.517379007510002 0,-54.209144115980003 -27.517501405680001 0,-54.209102418619999 -27.517576539789999 0,-54.209091097300004 -27.517637400920002 0,-54.209175319270003 -27.51763199066 0,-54.209237477339997 -27.517616199500001 0,-54.209278943130002 -27.517571516109999 0,-54.209322102479902 -27.517552853800002 0,-54.20942101184 -27.517483219959999 0,-54.209603217430001 -27.517546386989999 0,-54.20965892185 -27.517694681839998 0,-54.209760713210002 -27.51776973131 0,-54.209908636089999 -27.517867083620001 0,-54.209951867980003 -27.518067103900002 0))
517254585;1;0;POLYGON ((-53.168920935609997 -27.254785620250001 0,-53.169502447939998 -27.254550005350001 0,-53.169864783519998 -27.254421873710001 0,-53.170105204149998 -27.254309398819998 0,-53.170404669669999 -27.254199015840001 0,-53.17062923532 -27.254110284309998 0,-53.170997926760002 -27.253995449590001 0,-53.171315421639903 -27.25388781342 0,-53.171736182330001 -27.253801177010001 0,-53.172183765100002 -27.253557166709999 0,-53.172264290800001 -27.253751819870001 0,-53.172277297519997 -27.254075856570001 0,-53.172247989539997 -27.254338590180001 0,-53.172168003099998 -27.25457851785 0,-53.17189885829 -27.25487871795 0,-53.171513103069898 -27.25502852256 0,-53.17100056 -27.255029140529999 0,-53.170636640040001 -27.25515583628 0,-53.170281299750002 -27.25518267396 0,-53.169948714859899 -27.255298063449999 0,-53.169677163579998 -27.255417358700001 0,-53.169489014539998 -27.255503969959999 0,-53.169349406629998 -27.255511247960001 0,-53.168931664440002 -27.2548285399299 0,-53.168920935609997 -27.254785620250001 0))
517254586;1;0;POLYGON ((-53.17259073764 -27.204184933640001 0,-53.17252011819 -27.204237886750001 0,-53.172460227579997 -27.204309923909999 0,-53.172329717510003 -27.204434914029999 0,-53.172167020940002 -27.204559904010001 0,-53.172036510870001 -27.204684893850001 0,-53.171090823479901 -27.204251827219998 0,-53.17184761235 -27.203785012 0,-53.17185263388 -27.203456055229999 0,-53.172133609340001 -27.203293662090001 0,-53.172264077909901 -27.203271780769999 0,-53.172389182069999 -27.203259441579899 0,-53.17259073764 -27.204184933640001 0))
517254586;1;1;POLYGON ((-53.1750946463399 -27.20465415987 0,-53.174481368160002 -27.20491162459 0,-53.173681862670001 -27.20517978374 0,-53.17310834757 -27.205277909519999 0,-53.172632696789996 -27.204899546389999 0,-53.173678002640003 -27.20443856192 0,-53.174525501730002 -27.204362626399998 0,-53.175011017279999 -27.204295346519999 0,-53.175757201780002 -27.20432269114 0,-53.176124999199999 -27.2044734459 0,-53.176079371370001 -27.204655467839999 0,-53.1750946463399 -27.20465415987 0))
517254591;1;0;POLYGON ((-51.601569 -27.751937 759.49,-51.600496 -27.751538 757.56,-51.59958 -27.751489 755.63,-51.600141 -27.750947 754.3,-51.600734 -27.751241 755.32,-51.601577 -27.751449 753.13,-51.601643 -27.751413 752.53,-51.601784 -27.751409 751.88,-51.60188 -27.751463 751.93,-51.601921 -27.751613 753.71,-51.601569 -27.751937 759.49))
517254592;1;0;POLYGON ((-54.759007 -27.799683 284.21,-54.759073 -27.799685 284.15,-54.75922 -27.79979 284.58,-54.759 -27.79992 285.46,-54.7586 -27.80016 286.77,-54.758267 -27.80035 289.35,-54.75801 -27.80051 291.41,-54.757705 -27.800556 292.59,-54.757439 -27.800681 294.46,-54.75745 -27.80085 295.9,-54.75711 -27.80106 301.11,-54.75665 -27.80135 308.85,-54.75652 -27.80132 308.5,-54.75625 -27.80132 308.5,-54.75587 -27.80138 309.72,-54.75554 -27.80151 306.07,-54.755471 -27.801465 303.95,-54.755478 -27.801376 302.55,-54.755532 -27.801174 300,-54.75568 -27.80101 299.4,-54.75584 -27.80098 301.27,-54.75599 -27.80098 301.56,-54.7561 -27.80087 299.6,-54.75605 -27.80079 298.61,-54.75583 -27.80079 298.12,-54.75542 -27.80099 295.05,-54.7552 -27.80125 295.53,-54.75511 -27.80157 299.44,-54.755004 -27.801938 305.09,-54.754881 -27.802 305.8,-54.75482 -27.801929999999899 304.42,-54.754751 -27.80164 299.05,-54.754659 -27.801425 295.53,-54.754654 -27.801298 293.8,-54.754581 -27.801237 292.72,-54.754522 -27.801164 291.54,-54.754491 -27.801086 290.41,-54.754532 -27.800984 289.2,-54.754767 -27.800816 288.11,-54.755336 -27.800488999999899 288.79,-54.756705 -27.79967 290.52,-54.757 -27.79972 290.46,-54.7572 -27.79986 290.53,-54.75729 -27.7998 290.12,-54.75714 -27.79939 290.38,-54.75734 -27.799323 289.93,-54.757799 -27.799806 287.77,-54.758408 -27.799985 286.56,-54.759007 -27.799683 284.21))
517254592;1;1;POLYGON ((-54.75 -27.803671 286.25,-54.750048 -27.803549 287.5,-54.750136 -27.803484 288.94,-54.750248 -27.803478 290.21,-54.750496 -27.803391 294.22,-54.750704 -27.803316 298.08,-54.751263 -27.803646 302.48,-54.751564 -27.803864999999899 304.94,-54.751812999999899 -27.804067 306.82,-54.751733 -27.804186 305.57,-54.75139 -27.804322 300.49,-54.751128 -27.804479 298.81,-54.750905 -27.804517 296.59,-54.750662 -27.804464 293.01,-54.750323 -27.804132 288.29,-54.750124 -27.803867 287.23,-54.75 -27.803671 286.25))
517254592;1;2;POLYGON ((-54.76595 -27.80667 0,-54.767555 -27.808719 0,-54.766703 -27.809223 0,-54.764855 -27.810315 0,-54.76364 -27.81101 0,-54.7633 -27.81065 0,-54.76347 -27.81044 0,-54.76383 -27.81006 0,-54.763704 -27.809366 0,-54.76344 -27.8092 0,-54.76276 -27.80845 0,-54.76595 -27.80667 0))
517254592;1;3;POLYGON ((-54.766938 -27.807757 0,-54.767408 -27.80766 0,-54.767305 -27.807355 0,-54.76819 -27.8072 0,-54.76866 -27.80713 0,-54.769324 -27.807011 0,-54.76967 -27.80692 0,-54.77026 -27.80742 0,-54.76985 -27.80762 0,-54.769509999999897 -27.80774 0,-54.76899 -27.80778 0,-54.76855 -27.80795 0,-54.76875 -27.80834 0,-54.768861 -27.808658 0,-54.768747 -27.808952 0,-54.76798 -27.80917 0,-54.767893 -27.809047 0,-54.76754 -27.80853 0,-54.767297 -27.808219 0,-54.766938 -27.807757 0))
517254592;1;4;POLYGON ((-54.771057 -27.80749 315.66,-54.770973 -27.807461 315.89,-54.770896 -27.807438 316.38,-54.770812 -27.807413 316.92,-54.77073 -27.807384 317.41,-54.770592 -27.80727 318.14,-54.770465 -27.807155 318.55,-54.770338 -27.807036 318.71,-54.770201 -27.806912 318.79,-54.770367 -27.806885 318.28,-54.770528 -27.806858 317.98,-54.770856 -27.806805 317.53,-54.770953 -27.80715 316.85,-54.770995999999897 -27.807319 316.28,-54.771057 -27.80749 315.66))
517254594;1;0;POLYGON ((-54.617435 -28.091575 214.75,-54.616313 -28.091426 217.55,-54.61545 -28.091274 216.36,-54.61531 -28.09111 214.98,-54.615308 -28.090102 208.9,-54.615558 -28.08986 207.01,-54.615839 -28.089627 205.42,-54.616173 -28.089583 205.11,-54.616411999999897 -28.089469 204.98,-54.616505 -28.089357 204.9,-54.616638 -28.089327 204.52,-54.617488 -28.089403 202.27,-54.61746 -28.08977 203.12,-54.617346 -28.090222 205.73,-54.617393 -28.090516 208.06,-54.617435 -28.091575 214.75))
517254594;1;1;POLYGON ((-54.617136 -28.086381 222.62,-54.617271 -28.086998 212.51,-54.617118 -28.086984 210.67,-54.616813 -28.086816 210.28,-54.616698 -28.086936 207.57,-54.616667 -28.087011 206.32,-54.616552 -28.087039 204.97,-54.616026 -28.087094 203.5,-54.615576 -28.087134 203.45,-54.615461 -28.087166 203.45,-54.615298 -28.08717 203.81,-54.615453 -28.086493 209.01,-54.617136 -28.086381 222.62))
517254595;1;0;POLYGON ((-49.270063340660002 -27.741597390390002 593.01,-49.270031154160002 -27.7416781031299 599.74,-49.270020425319998 -27.7417920504199 599.74,-49.270066022869898 -27.741841902320001 599.74,-49.269628822799902 -27.741924988779999 601.22,-49.269677102569901 -27.74180154602 601.22,-49.26974684 -27.7416781031299 600.29,-49.26978975534 -27.741573651340001 592.78,-49.269864857199998 -27.741507181959999 592.78,-49.269961416720001 -27.7415166775899 592.78,-49.270063340660002 -27.741597390390002 593.01))
517254605;1;0;POLYGON ((-48.481592 -17.112959 0,-48.480554 -17.110942 0,-48.482124 -17.110226 0,-48.483693 -17.109511 0,-48.483768 -17.109661 0,-48.483927 -17.110051 0,-48.484085 -17.110441 0,-48.484211 -17.110758 0,-48.484337 -17.111075 0,-48.483746 -17.112039 0,-48.483155 -17.113004 0,-48.481592 -17.112959 0))
517254606;1;0;POLYGON ((-61.946447 -11.701512 0,-61.94551 -11.701496 0,-61.944572 -11.701479 0,-61.944613 -11.699677 0,-61.944634 -11.698776 0,-61.944654 -11.697875 0,-61.945121 -11.697904 0,-61.945589 -11.697933 0,-61.946056 -11.697962 0,-61.946524 -11.697991 0,-61.946486 -11.699751 0,-61.946447 -11.701512 0))
517254608;1;0;POLYGON ((-42.940618 -20.025945 0,-42.940899 -20.026341 0,-42.941116 -20.026642 0,-42.941249999999897 -20.026953 0,-42.940564 -20.027188 0,-42.940192 -20.027234 0,-42.939745 -20.027275 0,-42.939396 -20.027337 0,-42.939168 -20.027151 0,-42.938972 -20.02692 0,-42.93879 -20.026628 0,-42.939563 -20.026332 0,-42.940618 -20.025945 0))
517254613;1;0;POLYGON ((-42.157643 -16.879572 0,-42.156841 -16.878583 0,-42.157081 -16.878286 0,-42.157238 -16.878115 0,-42.157396 -16.877963 0,-42.157546 -16.87783 0,-42.157813 -16.877973 0,-42.158087 -16.877799 0,-42.158219 -16.877666 0,-42.158207 -16.8775 0,-42.158134 -16.877354 0,-42.158072 -16.87727 0,-42.157915 -16.877144 0,-42.157498 -16.877531999999899 0,-42.157441 -16.877728 0,-42.157008 -16.878206 0,-42.156794 -16.878425 0,-42.155755 -16.877324 0,-42.156445 -16.876835 0,-42.157037 -16.876379 0,-42.157762 -16.87608 0,-42.158273 -16.875945 0,-42.158765 -16.875967 0,-42.159455 -16.876179 0,-42.160002 -16.876596 0,-42.160584 -16.87753 0,-42.160919 -16.878581 0,-42.157643 -16.879572 0))
517254616;1;0;POLYGON ((-43.189747 -21.260778 0,-43.188929 -21.260759 0,-43.188507 -21.260737 0,-43.188084 -21.260714 0,-43.187558 -21.260567 0,-43.187551 -21.2603 0,-43.187544 -21.260034 0,-43.188603 -21.260063 0,-43.189663 -21.260092 0,-43.189632 -21.260265 0,-43.189601 -21.260438 0,-43.189747 -21.260778 0))
517254617;1;0;POLYGON ((-46.2191 -22.18973 0,-46.219817 -22.190681 0,-46.219856 -22.191261 0,-46.217444 -22.192876 0,-46.216868 -22.192638 0,-46.216285 -22.192721 0,-46.216994 -22.191068999999899 0,-46.216805 -22.190399 0,-46.216881 -22.189745 0,-46.218571 -22.191022999999898 0,-46.219025 -22.1907 0,-46.2191 -22.18973 0))
517254625;1;0;POLYGON ((-50.007058 -15.647267 0,-50.006822 -15.646928 0,-50.006354 -15.646477 0,-50.005659 -15.645965 0,-50.005817 -15.645341 0,-50.006403999999897 -15.645047 0,-50.006763 -15.64508 0,-50.006983 -15.645673 0,-50.00723 -15.646003 0,-50.007609 -15.646422 0,-50.008141 -15.647132 0,-50.007945 -15.647353 0,-50.007429 -15.647521 0,-50.007058 -15.647267 0))
517254630;1;0;POLYGON ((-43.171371 -20.518083 0,-43.169244 -20.517743 0,-43.167116 -20.517402 0,-43.167122 -20.516724 0,-43.167125 -20.516385 0,-43.167128 -20.516046 0,-43.168324 -20.515823 0,-43.16952 -20.515601 0,-43.170717 -20.515379 0,-43.171913 -20.515156 0,-43.171642 -20.51662 0,-43.171371 -20.518083 0))
517254634;1;0;POLYGON ((-48.629253 -13.938485 0,-48.629121 -13.938304 0,-48.629036 -13.938278 0,-48.629433 -13.935354 0,-48.633623 -13.933044 0,-48.633445 -13.935598 0,-48.634191 -13.938811 0,-48.634324 -13.940432 0,-48.633831 -13.940242 0,-48.633639 -13.940215 0,-48.633539 -13.940572 0,-48.6335 -13.941082 0,-48.633057 -13.941529 0,-48.632649 -13.941879 0,-48.632664 -13.942172 0,-48.632891999999899 -13.942656 0,-48.632734 -13.942678 0,-48.632407 -13.942676 0,-48.63244 -13.942859 0,-48.631845 -13.94269 0,-48.631557 -13.942883 0,-48.631429 -13.942811 0,-48.631302 -13.942498 0,-48.631354 -13.942303 0,-48.630851 -13.941632 0,-48.630874 -13.941349 0,-48.630701 -13.941306 0,-48.630671 -13.940953 0,-48.630796 -13.94067 0,-48.63076 -13.9403 0,-48.630656 -13.940069 0,-48.630497 -13.939945 0,-48.630384 -13.939757 0,-48.630166 -13.939902 0,-48.629916 -13.940011 0,-48.629643 -13.939982 0,-48.629518 -13.939963 0,-48.62964 -13.939885 0,-48.62969 -13.939739 0,-48.629565 -13.939731 0,-48.629576 -13.939674 0,-48.629604999999898 -13.939661 0,-48.629799 -13.939595 0,-48.629784 -13.939502 0,-48.629978 -13.939239 0,-48.630119 -13.93921 0,-48.630112 -13.939026 0,-48.630264 -13.938927 0,-48.630312 -13.938824 0,-48.630053 -13.938651 0,-48.629848 -13.938805 0,-48.629823 -13.938656 0,-48.629656 -13.938588 0,-48.629398 -13.938477 0,-48.629253 -13.938485 0))
517254638;1;0;POLYGON ((-53.246853 -26.119447 0,-53.244939 -26.12074 0,-53.244139 -26.121079 0,-53.244108 -26.118847 0,-53.244669 -26.11875 0,-53.24523 -26.118654 0,-53.245783 -26.118519 0,-53.246059 -26.118452 0,-53.246335 -26.118384 0,-53.246465 -26.11865 0,-53.246594 -26.118916 0,-53.246853 -26.119447 0))
517254639;1;0;POLYGON ((-44.840301 -21.411617 0,-44.840923 -21.410391 0,-44.841146 -21.410212 0,-44.841307 -21.410016 0,-44.842015 -21.410438 0,-44.843215 -21.411189 0,-44.842632 -21.411682 0,-44.842242 -21.411928 0,-44.842129 -21.411843999999899 0,-44.841759 -21.411993 0,-44.841568 -21.412216 0,-44.841772 -21.412599 0,-44.841584 -21.412737 0,-44.841603 -21.412977 0,-44.84113 -21.413145 0,-44.840483 -21.413471 0,-44.840311 -21.4134 0,-44.840262 -21.413076 0,-44.840661 -21.413056 0,-44.840748 -21.412866 0,-44.840699999999899 -21.412689 0,-44.840388 -21.412621 0,-44.840121 -21.412700999999899 0,-44.839814 -21.412055 0,-44.840193 -21.41171 0,-44.841723 -21.411603 0,-44.841802 -21.411177 0,-44.841851 -21.41098 0,-44.841653 -21.410916 0,-44.841369 -21.4113 0,-44.841027 -21.411616 0,-44.840458 -21.411648 0,-44.840301 -21.411617 0))
517254639;1;1;POLYGON ((-44.83811 -21.414276999999899 0,-44.838687 -21.413704 0,-44.83871 -21.413226 0,-44.838799 -21.413019 0,-44.839684 -21.412186 0,-44.839787 -21.412289 0,-44.839911 -21.412608 0,-44.84 -21.41284 0,-44.839995 -21.413094 0,-44.839945 -21.41321 0,-44.839866 -21.413333 0,-44.839916 -21.413513 0,-44.839839 -21.413767 0,-44.839658 -21.413948 0,-44.83935 -21.414062 0,-44.838911 -21.414373 0,-44.838473 -21.414422 0,-44.83811 -21.414276999999899 0))
517254639;1;2;POLYGON ((-44.837868 -21.415462 0,-44.837842 -21.414774 0,-44.837889 -21.41446 0,-44.838205 -21.414523 0,-44.838484 -21.414711 0,-44.838572 -21.415142 0,-44.839221 -21.414963 0,-44.840737 -21.414196 0,-44.840874 -21.414777 0,-44.839804 -21.415038 0,-44.838738 -21.415263 0,-44.837868 -21.415462 0))
